Symbol,Name,AUM,Avg Daily Share Volume (3mo)
SPDW,SPDR Portfolio Developed World ex-US ETF,"$23,517,000.00 ","3,988,063"
SHY,iShares 1-3 Year Treasury Bond ETF,"$23,000,900.00 ","3,599,053"
MGK,Vanguard Mega Cap Growth ETF,"$22,555,700.00 ","424,483"
VGSH,Vanguard Short-Term Treasury ETF,"$22,222,100.00 ","3,331,283"
MDY,SPDR S&P Midcap 400 ETF Trust,"$22,191,800.00 ","989,490"
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,"$22,063,500.00 ","5,516,987"
JAAA,Janus Henderson AAA CLO ETF,"$22,055,900.00 ","6,880,876"
BIV,Vanguard Intermediate-Term Bond ETF,"$21,914,100.00 ","1,419,623"
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,"$21,635,200.00 ","2,732,538"
VGK,Vanguard FTSE Europe ETF,"$20,749,800.00 ","3,386,278"
XLC,Communication Services Select Sector SPDR Fund,"$20,606,600.00 ","4,796,898"
EFV,iShares MSCI EAFE Value ETF,"$20,427,500.00 ","3,094,832"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$20,300,800.00 ","3,537,830"
SDY,SPDR S&P Dividend ETF,"$20,159,500.00 ","318,047"
XLI,Industrial Select Sector SPDR Fund,"$20,041,300.00 ","9,176,002"
VMBS,Vanguard Mortgage-Backed Securities ETF,"$20,032,200.00 ","2,045,953"
VXF,Vanguard Extended Market ETF,"$19,712,600.00 ","418,617"
IUSV,iShares Core S&P U.S. Value ETF,"$19,698,900.00 ","977,722"
TQQQ,ProShares UltraPro QQQ,"$19,653,600.00 ","62,740,879"
USHY,iShares Broad USD High Yield Corporate Bond ETF,"$19,597,300.00 ","12,030,981"
SHV,iShares Short Treasury Bond ETF,"$19,529,100.00 ","5,767,878"
SMH,VanEck Semiconductor ETF,"$19,525,400.00 ","6,606,075"
DVY,iShares Select Dividend ETF,"$19,459,100.00 ","563,138"
